ip version|port|bytes
6|26253|22772
6|24866|9504
4|55164|13384188
4|53777|11727329
6|24867|13180
6|26254|9300
4|55165|17285330
4|53778|11384536
6|24868|10772
4|55166|11275735
6|26255|9422
4|53779|12875791
6|26256|3708559
6|24869|10548
4|55167|13097984
6|50450|310316
4|55168|15157277
6|26257|10466
6|50451|651758
4|55169|117478943
6|26258|10335
6|50452|1753516
6|26259|19084
6|50453|339816
6|50454|357228
6|50455|156529
6|50456|4855455
6|50457|118088
6|50458|117982
4|36560|7297443
6|50459|178718
4|36561|9070880
4|36562|4819910
4|36563|32432643
4|36564|32011312
4|36565|11657191
4|60760|8801681
4|36566|8156116
6|31850|765215
4|60761|7432669
4|36567|9592614
6|31851|34594
4|60762|9296344
4|36568|5235252
4|60763|11610397
6|31852|10881
4|36569|8852709
4|62150|5939730
6|33240|100377
4|60764|17552506
6|31853|9753
4|62151|57120044
6|31854|10768
4|60765|5953255
4|62152|5842466
6|33241|30373
6|33242|2853150
4|60766|30211260
6|31855|9399
4|62153|7028060
6|31856|11169
4|60767|264474964
4|62154|13542286
6|33243|36393
4|60768|42248996
6|31857|11163
4|62155|5022350
6|33244|1120086
4|60769|16541500
6|31858|10731
4|62156|5975163
6|33245|41438
6|33246|28743
4|17960|4271162
6|31859|34406
4|62157|6325294
4|17961|5511404
4|62158|9916224
6|33247|36856
6|33248|32250
4|17962|4971023
4|62159|7158920
4|17963|3971862
4|19350|4707384
6|33249|42785
4|17964|2846413
4|19351|6829568
4|17965|4889299
4|19352|3501141
4|17966|231323206
4|19353|5108394
4|17967|5279406
4|19354|2686502
4|17968|4580980
4|19355|17901580
4|17969|6882339
4|43550|13999594
4|19356|46079370
6|14640|54772
4|43551|6850897
4|19357|6549800
6|14641|8856
4|43552|6489449
4|19358|4708814
4|43553|5883681
6|14642|9427156
4|19359|4414087
6|16030|11081
4|43554|5800732
6|14643|18877
6|14644|21365
6|16031|9518
4|43555|5508755
6|16032|301152
6|14645|9603
4|43556|7429809
6|14646|430047
6|16033|62577
4|43557|6857612
6|16034|9396
4|43558|12535557
6|14647|9291
6|14648|10721
6|16035|9843
4|43559|21184965
6|14649|11136
6|16036|16468
6|40230|40608
6|16037|12881
6|40231|42068
6|16038|638880
6|40232|2960309
6|16039|10121
6|1870|7980
6|40233|396323
6|1871|9866
6|40234|36125
6|1872|7437
6|40235|43217
6|1873|12337
6|3260|6463
6|40236|36272
6|1874|6397
6|3261|9057
6|40237|51229
4|65390|10167231
6|3262|10735
6|1875|8042
6|40238|36805
4|65391|4841754
6|1876|15121
4|26340|8592512
6|40239|44852
6|3263|8812
4|65392|7642907
6|1877|34528
6|3264|7564
4|26341|18362912
4|65393|3741960
6|1878|11693
6|3265|9350
4|26342|42341340
6|57900|256061
4|65394|4503296
6|1879|10902
4|26343|32722324
6|57901|66188
6|3266|9661
4|65395|4888176
6|3267|22775
4|26344|10257251
6|57902|302765
4|65396|5506037
4|26345|14541063
4|8290|2871316
6|60680|49894
6|57903|62105
6|3268|10843
4|65397|5975393
6|3269|11730
4|26346|14883740
4|8291|2565384
6|60681|62486
6|57904|49232
4|65398|8734858
4|26347|33569322
4|8292|4151011
6|60682|438394
6|57905|49162
4|65399|3650690
4|26348|14157047
4|8293|5019277
6|60683|185301
6|57906|60910
4|26349|16388703
4|8294|2949360
6|60684|433903
6|57907|86502
6|23020|8452
4|8295|2299654
6|60685|108714
6|57908|69140
6|23021|9870
4|8296|3813593
6|60686|47127
6|57909|58115
4|8297|1822040
6|23022|10916
6|60687|71993
4|8298|4804472
6|23023|29812
6|60688|141102
6|23024|9435
4|46790|8350416
4|8299|3327258
6|60689|52886
6|17880|12452
4|46791|7095911
6|23025|9856
6|23026|1900242
4|46792|7329568
6|17881|9183
6|17882|9757
4|46793|8915543
6|23027|33408
4|48180|5429239
6|17883|7198
6|23028|11854
4|46794|30601814
4|48181|6129676
6|17884|168638
4|46795|8674173
6|23029|9891
4|48182|7771956
6|17885|10042
