ip version|application name|packets|bytes
4|BitTorrent|12798821|10027318590
6|BitTorrent|1785|136623
4|Brodos Crypto Trade Protocol|11317054|9518222151
6|Brodos Crypto Trade Protocol|2129|2094064
6|Clash of Clans|3|1368
4|Clash of Clans|761575|45942326
4|DNS|41830498|6303336883
6|DNS|9136239|1320506036
4|FCP|61|2856
4|GNUnet|612791|882258332
6|HTTP|335355|286263482
4|HTTP|405395670|498007219074
4|HTTPS|1027076603|1052223203548
6|HTTPS|834100|669997747
4|IMAPS|2310491|2716357782
6|IPSec NAT Traversal|3|1436
4|IPSec NAT Traversal|3343037|3944253537
6|Microsoft DS|2|120
4|Microsoft DS|30544447|2713302391
4|NNTP|3919|228776
4|NNTPS|618|36924
4|Not TCP/UDP|21040765|8261117065
6|Not TCP/UDP|3896966|296902135
6|NTP|5179|497184
4|NTP|6059390|353720253
6|OpenVPN|1|308
4|OpenVPN|3344070|2657218558
6|QUIC|378925|126253402
4|QUIC|55035927|61855011778
6|Remote Shell|1|60
4|Remote Shell|243080|22352789
4|RTSP|1414332|117321391
6|RTSP|2|120
6|SMTP|3|180
4|SMTP|9843142|1355488256
4|SSH|4174526|872789341
4|STUN/TURN|1731201|1039427831
6|STUN/TURN|5|2048
6|Sun Proxy Admin Service|178|10986
4|Sun Proxy Admin Service|518411|471862969
4|Tor|2893437|193046808
6|unidentified|283376|62795777
4|unidentified|552363978|324808403115
4|XBox Live|3197477|557108062
4|XMPP|18665015|4704322463
4|XNS|150|9230
