ip version|application name|packets|bytes
6|BitTorrent|123|18654
4|BitTorrent|12823585|8694303836
4|Brodos Crypto Trade Protocol|10575253|7648123898
6|Brodos Crypto Trade Protocol|26|3668
4|Clash of Clans|1149987|75723042
6|Clash of Clans|2|808
4|DNS|26580486|4191308834
6|DNS|9769831|1365418566
4|FCP|568|23074
4|GNUnet|60405|82531924
4|HTTP|443330411|568439483076
6|HTTP|4963134|721854963
6|HTTPS|3686563|2294076058
4|HTTPS|788788378|805858858415
4|IMAPS|1112747|956660723
4|IPSec NAT Traversal|2618455|3027513755
6|IPSec NAT Traversal|2|996
4|Microsoft DS|25337521|2224566022
4|NNTP|7774|523358
4|NNTPS|1689|68175
4|Not TCP/UDP|17662888|5894382940
6|Not TCP/UDP|3269036|251473501
6|NTP|5594|537024
4|NTP|8710415|439023889
4|OpenVPN|1272630|1226569581
6|OpenVPN|2|744
6|QUIC|260367|92116154
4|QUIC|63731872|80197656602
4|Remote Shell|230653|23977074
4|RTSP|798689|58578893
6|SMTP|48|3722
4|SMTP|5149002|820731810
4|SSH|3718370|1583573398
4|STUN/TURN|1416091|603145450
4|Sun Proxy Admin Service|1338491|1674847208
6|Sun Proxy Admin Service|85|5253
4|Tor|2811929|173093247
6|unidentified|409296|359039171
4|unidentified|494094794|289011234256
6|XBox Live|1|500
4|XBox Live|1591113|356744042
4|XMPP|13793962|3967276229
4|XNS|86|4969
