ip version|port|bytes
6|26253|20973
6|24866|29373
4|55164|30462793
4|53777|14780366
6|26254|83904450
6|24867|20971
4|55165|455123280
4|53778|22893400
6|24868|23831
6|26255|32641
4|55166|145678161
4|53779|24702669
6|26256|85954
4|55167|37500232
6|24869|20621
6|50450|1455989
6|26257|24734
4|55168|21153015
6|50451|914188
6|26258|18108
4|55169|48916306
6|50452|1478389
6|26259|23282
6|50453|1442070
6|50454|3581124
6|50455|1003756
6|50456|953140
6|50457|1154961
6|50458|2816003
4|36560|14149950
6|50459|965719
4|36561|34127266
4|36562|12525145
4|36563|14532136
4|36564|14424610
4|36565|26074838
4|60760|16662006
4|36566|55282063
6|31850|31070
4|60761|13503360
4|36567|13627209
6|31851|41483
4|60762|20442966
4|36568|20332392
6|31852|71831
4|60763|14481526
4|36569|16690102
4|62150|11951083
6|33240|48893
6|31853|29830
4|60764|18014893
4|62151|13420317
6|31854|23433
4|60765|12870381
4|62152|11360777
6|33241|48868
4|60766|22705536
6|31855|16359
4|62153|37679966
6|33242|45300
6|31856|22901
4|60767|13883344
4|62154|12211168
6|33243|122244
6|33244|48510
6|31857|23916
4|60768|589617624
4|62155|9687920
6|31858|27233
4|60769|12907178
4|62156|13800905
6|33245|55393
6|31859|26384
4|17960|38449994
4|62157|5841483
6|33246|706582
6|33247|93346
4|17961|6021209
4|62158|50284260
6|33248|221958
4|17962|8298800
4|62159|11532287
4|17963|5323885
4|19350|7530682
6|33249|44077
4|17964|5550313
4|19351|8425508
4|17965|7303606
4|19352|12703473
4|17966|4432712
4|19353|6030416
4|17967|4511148
4|19354|6432160
4|17968|5442161
4|19355|5840060
4|17969|6074852
4|43550|13678088
4|19356|6859901
6|14640|21929
4|43551|9476470
4|19357|6194858
6|14641|21072
4|43552|9701074
4|19358|7035181
6|14642|20430
4|43553|8530565
4|19359|6028242
6|16030|21876
6|14643|26336
4|43554|26016570
6|14644|38205
6|16031|23731
4|43555|13422475
6|16032|26191
6|14645|33783
4|43556|12634861
6|16033|21779
6|14646|20896
4|43557|8150333
6|14647|23132
6|16034|561315
4|43558|47117474
6|14648|69550
6|16035|26073
4|43559|10974094
6|16036|350695
6|14649|51840
6|40230|764012
6|16037|19182
6|40231|55294
6|16038|48720
6|40232|59128
6|40233|60762
6|1870|26584
6|16039|24368
6|1871|242816
6|40234|47487
6|1872|80965
6|40235|59207
6|3260|25488
6|1873|30958
6|40236|53879
6|3261|23394
6|1874|17830
6|40237|57676
4|65390|23424339
6|1875|44189
6|40238|763743
6|3262|51885
4|65391|10969755
6|3263|30428
6|1876|21816
6|40239|54434
4|26340|26652633
4|65392|12301278
6|1877|67240
4|26341|23923292
6|3264|50636
4|65393|10399490
6|3265|29078
4|26342|20462533
6|1878|38756
6|57900|386368
4|65394|8892152
6|1879|97899
6|3266|29409
4|26343|17911398
6|57901|153998
4|65395|17596534
6|3267|80133
4|26344|31239426
6|57902|245217
4|65396|16254283
6|3268|61212
4|26345|16229932
4|8290|16201665
6|60680|171286
6|57903|284787
4|65397|7634140
4|26346|20166160
4|8291|14176691
6|60681|125190
6|57904|548201
6|3269|28458
4|65398|18174902
4|26347|18228111
4|8292|8822625
6|60682|837865
6|57905|578489
4|65399|12850162
4|26348|16508042
4|8293|5174632
6|60683|206842
6|57906|404295
4|26349|15489866
4|8294|5571673
6|60684|695716
6|57907|463827
6|23020|19144
4|8295|5586345
6|60685|279027
6|57908|267245
4|8296|7967246
