ip version|port|bytes
6|26253|822
6|24866|907
4|55164|6301658
4|53777|5600785
4|55165|3048070
6|26254|1138
4|53778|6280951
6|24867|542
4|55166|2983824
6|26255|1042
4|53779|16151392
6|24868|1227
4|55167|10841618
6|26256|1680
6|24869|401
6|50450|398487
6|26257|245
4|55168|13005311
6|50451|691910
6|26258|1524
4|55169|48816551
6|50452|443138
6|26259|1525
6|50453|53830
6|50454|149737
6|50455|56264
6|50456|8476325
6|50457|234217
6|50458|1849043
4|36560|2615799
6|50459|1853565
4|36561|2067704
4|36562|9849491
4|36563|2028961
4|36564|2908775
4|36565|2002398
4|60760|6681361
4|36566|7163476
4|60761|8583071
6|31850|38095
4|36567|6416014
6|31851|351
4|60762|17637413
4|36568|41207965
4|60763|2461719
6|31852|2474
4|36569|3618427
4|62150|19266980
6|31853|103
4|60764|3383793
4|62151|2515600
6|33240|9368
6|33241|303176
4|60765|27531372
6|31854|91169
4|62152|7529017
6|33242|18431
4|60766|4604186
6|31855|959
4|62153|4815996
6|31856|579
4|60767|3017025
4|62154|1677106
6|33243|1128
6|31857|457
4|60768|6366982
4|62155|1886679
6|33244|40270
4|60769|57549220
6|31858|1129
4|62156|4913957
6|33245|1138
6|31859|269
6|33246|1141
4|17960|1493606
4|62157|8566555
6|33247|627
4|17961|8526054
4|62158|2018417
6|33248|2079
4|17962|6304601
4|62159|4508851
4|17963|2641834
4|19350|3188268
6|33249|3072
4|17964|2741091
4|19351|1978188
4|17965|8808754
4|19352|1441851
4|17966|2004700
4|19353|26581575
4|17967|2623636
4|19354|1098912
4|17968|3174671
4|19355|4400190
4|17969|1664832
4|43550|5508018
4|19356|1329812
4|43551|5583552
6|14640|3640
4|19357|2190482
6|14641|558
4|43552|1781779
4|19358|1544581
6|14642|890
4|43553|14123655
4|19359|1497330
6|14643|1037
6|16030|4223
4|43554|3833471
6|14644|801
6|16031|2363
4|43555|1429090
6|16032|608
6|14645|1085
4|43556|9996550
6|16033|922
4|43557|2808265
6|14646|1746
4|43558|71827020
6|14647|2333
6|16035|561
6|14648|705
4|43559|2409979
6|40230|5358
6|14649|1353
6|16036|590
6|16037|528
6|40231|6721
6|16038|478
6|40232|2797
6|16039|1534
6|1870|140
6|40233|19731
6|1871|533
6|40234|14418483
6|40235|1398
6|1872|1101
6|1873|435
6|40236|154595
6|3260|1266
6|3261|240
6|40237|1962
6|1874|342
4|65390|5602154
6|1875|321
6|3262|9551
6|40238|69616
4|65391|2443401
6|40239|8007
6|1876|492
4|26340|41207308
4|65392|17655774
4|26341|1505617
6|1877|464
6|3264|4686
4|65393|2338705
6|1878|327
6|3265|463
4|26342|2776248
6|57900|143794
4|65394|7338601
6|1879|1244
6|57901|1846
4|26343|2275617
6|3266|1909
4|65395|7754804
4|26344|2309688
6|57902|54107
6|3267|380
4|65396|10829604
6|3268|411
4|26345|102799266
4|8290|25488715
6|60680|20842
6|57903|28376
4|65397|2981255
6|60681|14471
4|26346|1052829
4|8291|15629567
6|57904|18205
6|3269|6247
4|65398|10922578
4|26347|1960447
4|8292|27550986
6|60682|3732
6|57905|496160
4|65399|17327090
6|57906|142285
4|26348|3305967
4|8293|5112974
6|60683|25434
6|60684|8956
4|26349|2551481
4|8294|5143883
6|57907|144828
4|8295|2585593
6|23020|682
6|60685|23184
6|57908|60646
6|23021|267
4|8296|1394332
6|60686|9895
6|57909|282597
6|60687|149346
4|8297|691146
6|23022|690
4|8298|4726250
6|23023|1249
6|60688|19711
4|46790|4554021
4|8299|35750627
6|23024|1649
6|60689|17750
6|17880|3479
6|23025|848
4|46791|2157344
6|17881|633
6|23026|982
4|46792|46167322
6|17882|468
4|46793|3464033
6|23027|4023
4|48180|104347725
6|23028|776
4|46794|6181188
6|17883|230
4|48181|9718366
6|23029|1276
4|46795|1069355
6|17884|1274
4|48182|5127590
6|17885|510
4|46796|3794746
4|48183|5511715
4|46797|1470392
6|17886|849
4|48184|3376532
6|17887|1351
4|46798|22663831
4|48185|1967522
6|17888|324
4|46799|2359208
4|48186|10067723
6|17889|1741
6|43470|2786
4|48187|3013562
6|43471|17809
4|48188|3475130
6|43472|15926
4|48189|2196910
6|43473|902
6|43474|849
6|43475|924
6|43476|5730
6|43477|32100
6|43478|160711
4|29580|1072737
6|43479|1594
4|29581|39226873
4|29582|1553106
4|29583|1509838
4|29584|1594360
4|29585|1823151
4|29586|7898018
4|53780|8034938
6|24870|4116
4|29587|8521743
4|53781|54658488
4|29588|955713
4|53782|17642872
6|24871|1084
4|29589|4441873
4|55170|8224484
4|53783|14341867
6|24872|65928
6|26260|205
6|24873|559
4|55171|5674870
4|53784|3623175
4|55172|2459933
6|26261|531
4|53785|29280759
6|24874|58546
6|24875|309
6|26262|374
4|55173|4625280
4|53786|8889705
6|26263|104
4|55174|3899764
4|53787|12331243
6|24876|271
6|26264|237
4|55175|16668653
4|53788|27507867
6|24877|1604
6|26265|330
4|55176|3156208
4|53789|36722145
6|24878|510
6|24879|675
4|55177|1822619
6|26266|2035
6|50460|230920
6|50461|81381
4|55178|5331504
6|26267|1952
6|26268|404
4|55179|19823102
6|50462|816612
6|26269|1026
6|50463|41001
6|50464|188116
6|50465|24583
6|50466|30601
6|50467|33678
6|50468|14484
4|36570|5701397
6|50469|134865
4|36571|1444060
4|36572|2960220
4|36573|35497370
4|36574|2011190
4|36575|4991161
4|60770|18270940
4|36576|2864702
6|31860|343
4|60771|6292051
4|36577|8650797
4|60772|4093075
6|31861|1826
4|36578|3450552
4|60773|16878019
6|31862|1153
4|36579|2979599
4|62160|2000194
6|31863|2252
4|60774|4005967
4|62161|2004118
6|33250|6972
6|31864|31224
6|33251|8212
4|60775|16694970
4|62162|9714910
4|60776|5529505
6|31865|855
4|62163|2734924
6|33252|688
4|60777|4956455
6|31866|1493
4|62164|4831844
6|33253|1063
4|60778|6276992
6|31867|1257
4|62165|2742085
6|33254|1676
6|31868|518
4|60779|7785884
4|62166|1066645389
6|33255|279
6|31869|596
4|17970|1807865
4|62167|3206415
6|33256|885
4|17971|1685567
4|62168|2822436
6|33257|878
4|17972|15064999
4|62169|12877531
6|33258|2553
6|33259|10962
4|17973|1707161
4|19360|1141645
4|17974|1076031
4|19361|4255819
4|17975|2477364
4|19362|7039814
4|17976|1218302
4|19363|1093821
4|17977|1967443
4|19364|3124106
4|17978|1035553
4|19365|1731924
4|17979|2066887
4|43560|1961045
4|19366|2007468
4|43561|2148871
6|14650|1267
4|19367|1403005
6|14651|716
4|43562|8429724
4|19368|1991922
6|14652|22315
4|43563|4351895
4|19369|1806124
6|14653|499
6|16040|1265
4|43564|3096651
6|14654|496
6|16041|1065
4|43565|2050477
6|16042|1798
6|14655|830
4|43566|2705929
6|16043|179
4|43567|8594003
6|14656|12926
6|16044|464
6|14657|1914
4|43568|5625291
6|16045|1424
4|43569|3308933
6|14658|1288
6|16046|1934
6|14659|1090
6|40240|4307
6|16047|1184
6|40241|21402
6|16048|3835
6|40242|5278
6|1880|100
6|40243|619
6|16049|1395
6|1881|6621
6|40244|1710
6|1882|305
6|40245|4044
6|1883|372
6|40246|3155
6|3270|5910
6|1884|1458
6|3271|2965
6|40247|6042
6|1885|736
6|3272|207
6|40248|2130
6|3273|227
4|26350|12333302
6|1886|2546
6|40249|4550
6|1887|8983
6|3274|988
4|26351|2727304
6|3275|302
6|57910|12884
6|1888|2483
4|26352|2504774
6|57911|121495
6|3276|785
4|26353|2011347
6|1889|738
4|26354|1136671
6|57912|28838
6|3277|6881
6|3278|335
4|26355|4186960
6|60690|369031
6|57913|14838
4|26356|3416461
6|60691|3820680
6|57914|11460
6|3279|6841
4|26357|2283508
6|60692|33137
6|57915|35858
4|26358|3315365
6|60693|48993
6|57916|130590
4|26359|1743358
6|60694|44984
6|57917|5935
6|60695|6377
6|23030|145695
6|57918|20798
6|23031|454
6|57919|31738
6|60696|91101
6|23032|1298
6|60697|795675
6|23033|445
6|60698|18988
6|23034|1461
6|60699|174268
6|17890|1205
6|23035|1108
6|23036|786
6|17891|743
6|17892|103
6|23037|1476
4|48190|95315499
6|17893|378
6|23038|821
4|48191|1755853
6|17894|821
6|23039|899
4|48192|3625628
6|17895|1636
4|48193|5856556
6|17896|444
4|48194|7465327
6|17897|985
4|48195|1405366
6|17898|840
4|48196|21303131
6|17899|481
6|43480|6179
4|48197|7932985
6|43481|247
4|48198|5005407
6|43482|2701
4|48199|2727132
6|43483|918
6|64900|10753
6|43484|4105
6|64901|20233
6|64902|6267
6|43485|7747
6|43486|1140
6|64903|150631
6|43487|5182
6|64904|9627
6|43488|157730
6|64905|35418
4|29590|1002524
6|43489|4014
6|64906|3249691
6|64907|1687
4|29591|1696027
6|64908|1649
4|29592|13414490
6|64909|23461
4|29593|3032082
4|29594|7679987
4|29595|3009700
4|29596|3859097
4|53790|61007188
6|24880|1113
4|29597|1415132
4|53791|41739648
4|29598|1189908
4|53792|2871042
6|24881|1232
6|24882|1188
4|29599|2199413
4|55180|74485318
4|53793|106715922
6|26270|871
4|55181|2506623
4|53794|3867048
6|24883|1273
6|26271|1870
6|24884|1296
4|55182|11291561
4|53795|2918640
4|55183|12734831
6|26272|609
4|53796|8913738
6|24885|740
6|26273|1299
4|55184|2117474
4|53797|24852551
6|24886|1065
6|24887|793
6|26274|569
4|55185|3585249
4|53798|18009487
6|26275|219
6|24888|978
4|55186|5479832
4|53799|4071095
6|26276|1285
6|24889|246
4|55187|1917125
6|50470|300686
4|55188|39537700
6|26277|1743
6|50471|78055
6|26278|4103
4|55189|2196832
6|50472|344330
6|26279|218
6|50473|3557
6|50474|245266
6|50475|306667
6|50476|557282
6|50477|24767
6|50478|28280
4|36580|3408027
6|50479|1786242
4|36581|3094824
4|36582|4932936
4|36583|3103285
4|36584|3646819
4|36585|2289529
4|60780|27852818
4|36586|7506555
6|31870|1884
4|60781|2195483
4|36587|2091251
4|60782|25530808
6|31871|1309
4|36588|4600188
4|60783|47868594
6|31872|180385
4|36589|2427682
4|62170|5461644
6|31873|627
6|33260|1426
4|60784|7545365
4|62171|5821718
4|60785|10953816
6|31874|60
4|62172|7957969
6|33261|750
6|31875|981
4|60786|128333087
4|62173|31257361
6|33262|661
6|31876|540
4|60787|2345479
4|62174|7045486
6|33263|999
6|31877|1281
4|60788|4850037
4|62175|980823
6|33264|836
6|33265|1147
4|60789|6304866
6|31878|726
4|62176|4988681
6|31879|9088
6|33266|843
4|17980|12383118
4|62177|64947945
6|33267|5333
4|17981|2876976
4|62178|1896716
4|17982|1591399
4|62179|1631039
6|33268|7976
6|33269|1351
4|17983|1330820
4|19370|2518293
4|17984|1071252
4|19371|1278351
4|17985|1525962
4|19372|6093781
4|17986|385610417
4|19373|1321246
4|17987|9839604
4|19374|1103043
4|17988|17021259
4|19375|1490343
4|17989|1954982
4|43570|2496684
4|19376|923072
4|43571|2621211
6|14660|612
4|19377|1536693
4|43572|4382691
6|14661|17128
4|19378|7415820
4|43573|2383973
6|14662|1237
4|19379|6744603
6|16050|1569
4|43574|73196638
6|14663|606
6|14664|3830
6|16051|465
4|43575|5964588
6|16052|789
4|43576|5799444
6|14665|545
6|16053|313
6|14666|786
4|43577|1186650
6|16054|13884
4|43578|5424168
6|14667|925
6|14668|1073
6|16055|1200
4|43579|1157216
6|16056|121306
6|14669|1425
6|40250|29943
6|40251|9997
6|16057|1760
6|16058|2914
6|40252|6945019
6|1890|104
6|16059|3044
6|40253|6631
6|40254|6751
6|1892|1045
6|40255|1088
6|3280|984
6|40256|7542
6|1893|10985
6|3281|101
6|1894|424
6|40257|900
6|40258|47610
6|3282|712
6|1895|710
6|3283|103
4|26360|5501961
6|1896|408
6|40259|13794
6|1897|207
6|3284|634
4|26361|7779592
6|1898|188
6|3285|263
4|26362|112596185
6|57920|9202
6|3286|102
4|26363|2013955
6|1899|480
6|57921|10060
6|3287|646
4|26364|1293531
6|57922|124313
6|57923|425567
4|26365|10234409
6|3289|4682
4|26366|1266169
6|57924|10561
4|26367|2187708
6|57925|8106
6|57926|370439
4|26368|3936477
4|26369|5717892
6|57927|2734784
6|23040|1828
6|57928|347532
6|23041|401
6|57929|120476
6|23042|743
6|23043|610
6|23044|157682
6|23045|562
6|23046|653
6|23047|782
6|23048|229
6|23049|878
6|43490|14506
6|43491|5449
6|43492|941
6|43493|2302
6|64910|93948
6|43494|2570
6|64911|5339
6|43495|1494
6|64912|12481
6|43496|5183
6|64913|111569
6|43497|5612
6|64914|4012
6|43498|2406
6|64915|1508
6|64916|3437
6|43499|10667
6|64917|16157
6|64918|1676
6|64919|2203
6|24890|2702
6|24891|1241
6|24892|952
4|55190|11819537
6|26280|194959
4|55191|23034211
6|24893|2390
6|24894|495
6|26281|1584
4|55192|8721827
6|24895|603
6|26282|951
4|55193|14094154
6|26283|323
4|55194|3789685
6|24896|1644
6|47700|1175
6|47701|5416
4|55195|10036187
6|26284|1077
6|24897|364
6|26285|298
6|47702|8292
4|55196|18247616
6|24898|751
6|26286|33033
4|55197|98476503
6|24899|1695
6|50480|106384
6|47703|1191
6|47704|30945
6|26287|950
4|55198|3673883
6|50481|45641
6|47705|460
4|55199|2440329
6|26288|23068
6|50482|563324
6|47706|1269
6|26289|104
6|50483|33675
6|47707|71058
6|50484|279570
6|50485|54552
6|47708|22227
6|50486|177490
6|47709|2405
6|50487|72505
6|50488|68190
4|36590|6033478
6|50489|902502208
4|36591|5032844
4|36592|20366886
4|36593|2358373
4|36594|3800089
4|36595|3143653
4|60790|4695147
4|36596|8451334
4|59400|9702596
4|60791|20230167
6|31880|992
4|36597|10502217
4|59401|4218473
6|31881|101
4|60792|8496077
4|36598|1911085
4|59402|16589405
4|60793|3287317
6|31882|1375
4|36599|2910833
4|62180|50811720
4|59403|14408268
6|33270|7250
4|60794|12243958
6|31883|325
4|62181|2194935
4|59404|5546890
6|31884|833
4|60795|3669932
4|62182|4590614
4|59405|8445881
6|33271|1471
6|31885|659
4|60796|9496383
4|62183|8462140
4|59406|35000729
6|33272|1260
6|33273|1794
6|31886|1455
4|60797|2496520
4|62184|6586419
4|59407|2004151
6|31887|327
4|60798|3829657
4|62185|52214622
4|59408|13399469
6|33274|55771
6|31888|1657
4|60799|21411160
4|62186|3681550
4|59409|4700590
6|33275|782
4|17990|2517517
6|31889|2105
4|62187|2169048
6|33276|54919
6|33277|1340
4|17991|2895723
4|62188|6100618
6|33278|2614
4|17992|2690081
4|62189|3930040
4|17993|1576800
4|19380|5475679
6|33279|1765
4|17994|3105914
4|19381|1348121
4|17995|1841799
4|19382|2251109
4|17996|1531901
4|19383|4656879
4|17997|2038299
4|19384|1090358
4|17998|6288011
4|19385|1694918
4|17999|9682236
4|43580|6956720
4|19386|1283134
6|14670|288
4|43581|5227754
4|19387|1165406
6|14671|699
4|43582|4398611
4|19388|2412311
6|14672|757
4|43583|17165701
4|19389|979675
6|14673|1586
6|16060|376808
4|43584|10353643
6|14674|3584
6|16061|1554
4|43585|4195879
6|14675|11097
6|16062|643
4|43586|2740063
6|16063|686
4|43587|2349530
6|14676|355
6|16064|1230
4|43588|6545924
6|14677|444
6|14678|957
6|16065|9204
4|43589|2077213
6|40260|145934
6|16066|996
6|14679|452
6|16067|2309
6|40261|2883
6|16068|579
6|40262|3056
6|16069|391
6|40263|2589
6|40264|2930
6|40265|1022
6|3290|1019
6|40266|1577989
6|40267|4573
6|3291|520
6|3292|413
6|40268|15012
4|26370|3313802
6|40269|7920
6|3293|206
6|3294|137
4|26371|24727762
6|57930|42353
4|26372|7158337
6|3295|148
6|3296|309
4|26373|2422828
6|57931|5925
6|3297|2560
4|26374|6950617
6|57932|43648
6|3298|432
6|57933|49798
4|26375|1485908
6|3299|586
4|26376|1811572
6|57934|73886
4|26377|5096314
6|57935|31194
6|57936|1240
4|26378|1607190
4|26379|3376903
6|57937|26407
6|57938|417924
6|23050|1066
4|10400|22543965
6|23051|954
6|57939|159979
4|10401|23510026
6|23052|1477
4|10402|1050766
6|23053|715
4|10403|1808875
6|23054|153
4|10404|2123480
6|23055|1538
4|10405|2985014
6|23056|539
4|10406|29319020
6|23057|2244
4|10407|2202205
6|23058|500
4|10408|10068299
6|23059|1041
6|7500|376
4|10409|2619556
6|7501|1262
6|7502|877
6|7503|612
6|7504|3284
6|7505|874
6|7506|1076
6|7507|495
6|7508|876
6|64920|41947
6|7509|795
6|64921|21343
6|64922|152813
6|64923|56448
6|64924|10158
6|64925|503
6|64926|1562
6|64927|5567
6|64928|22711
6|64929|8712
6|26290|727
6|26291|770
