ip version|application name|packets|bytes
6|BitTorrent|242948|227490908
4|BitTorrent|37353632|19889124086
6|Brodos Crypto Trade Protocol|196766|81414353
4|Brodos Crypto Trade Protocol|29819753|19555960113
6|Clash of Clans|367|40856
4|Clash of Clans|3980498|214113192
4|DNS|124297012|113886714452
6|DNS|23075246|2574254638
4|FCP|3038447|4517731297
4|GNUnet|1081679|72286731
6|GNUnet|33|23232
4|HTTP|1274197415|428626355145
6|HTTP|3304982|1440202167
4|HTTPS|2611312373|947029066660
6|HTTPS|48033943|22176797853
4|IMAPS|4324165|1183046393
6|IMAPS|4907|604846
4|IPSec NAT Traversal|10265657|4876920126
6|IPSec NAT Traversal|334|55799
6|Microsoft DS|1|60
4|Microsoft DS|33656743|2574763979
4|NNTP|62150|11715280
4|NNTPS|628|88375
6|Not TCP/UDP|11064722|919654350
4|Not TCP/UDP|82246005|22101500491
6|NTP|38170|3664320
4|NTP|58504823|13623677374
6|OpenVPN|404|62990
4|OpenVPN|4801792|3791047323
4|QUIC|13483099|5955685789
6|QUIC|32145|37243883
6|Remote Shell|1|60
4|Remote Shell|3676346|3333372254
4|RTSP|4327585|4590767463
4|SMTP|21420975|9015748248
6|SMTP|24294|34021687
4|SSH|18629714|10114119774
6|SSH|29730|22553106
6|STUN/TURN|114502|31833961
4|STUN/TURN|5949405|2020781299
6|Sun Proxy Admin Service|341|292381
4|Sun Proxy Admin Service|5168367|706102914
4|Tor|12142583|16026038191
4|unidentified|1632280048|703714509201
6|unidentified|96288383|64375222393
6|XBox Live|284|32140
4|XBox Live|5495165|1162336724
6|XMPP|3792|554094
4|XMPP|617442637|85361581891
4|XNS|12267|932647
