ip version|application name|packets|bytes
6|BitTorrent|213267|156092733
4|BitTorrent|26558249|13478328885
4|Brodos Crypto Trade Protocol|24540609|14721476604
6|Brodos Crypto Trade Protocol|602160|270641127
6|Clash of Clans|419|45789
4|Clash of Clans|5136106|232948388
6|DNS|29593841|3299705458
4|DNS|69187118|26417153939
4|FCP|1353833|1915709687
4|GNUnet|2957192|174344877
6|GNUnet|4|240
4|HTTP|1111103303|438560917057
6|HTTP|6712339|6078026255
4|HTTPS|2212097020|716918923949
6|HTTPS|58398185|18500443456
6|IMAPS|1792|1002911
4|IMAPS|4585681|930147732
4|IPSec NAT Traversal|14950782|4685152045
6|IPSec NAT Traversal|391|44198
4|Microsoft DS|22731274|1566379560
4|NNTP|91766|22302314
4|NNTPS|542|86930
6|Not TCP/UDP|13689220|1184390982
4|Not TCP/UDP|73155301|25502025639
6|NTP|5632683|540737588
4|NTP|74934630|22189136720
4|OpenVPN|2837955|1027581180
6|OpenVPN|454|50637
6|QUIC|158517|206651202
4|QUIC|31831773|10344739446
4|Remote Shell|1835735|1259281297
4|RTSP|3813275|4588291076
6|SMTP|11846|5471386
4|SMTP|14693099|5452632867
6|SSH|2266|470791
4|SSH|9286162|3204970760
6|STUN/TURN|3748|664932
4|STUN/TURN|5475264|1274503474
6|Sun Proxy Admin Service|104|10813
4|Sun Proxy Admin Service|4320366|1046037105
4|Tor|10489978|13801572077
6|Tor|2340|1914067
4|unidentified|1245349823|572874595319
6|unidentified|26458817|14257533406
6|XBox Live|480|53513
4|XBox Live|9273116|1611485774
6|XMPP|4410|672963
4|XMPP|573749783|79524851172
4|XNS|8287|629812
