ip version|application name|packets|bytes
6|BitTorrent|60|11639
4|BitTorrent|6803826|4530031844
6|Brodos Crypto Trade Protocol|2|304
4|Brodos Crypto Trade Protocol|5834545|5133083655
4|Clash of Clans|2315892|161370113
4|DNS|31438822|31729723763
6|DNS|5299175|1232602555
4|FCP|27|1096
4|GNUnet|1573|287639
4|HTTP|377014486|442564858158
6|HTTP|3833|4633141
6|HTTPS|331993|480506113
4|HTTPS|624056840|582787502958
4|IMAPS|1629291|1878699857
4|IPSec NAT Traversal|1745960|2140027484
4|Microsoft DS|20408749|1763401142
4|NNTP|144197|194797524
4|NNTPS|537|32497
6|Not TCP/UDP|1769314|137828245
4|Not TCP/UDP|17753625|9118354187
6|NTP|444|42624
4|NTP|6102807|353384756
4|OpenVPN|505790|438320489
4|QUIC|23297538|30573712685
6|QUIC|622|238598
4|Remote Shell|286553|28797567
4|RTSP|87502|36266696
6|SMTP|104|16976
4|SMTP|4171239|629190487
4|SSH|7671837|4659579480
4|STUN/TURN|1077935|412737198
4|Sun Proxy Admin Service|2627431|3690254134
6|Sun Proxy Admin Service|5|309
4|Tor|2619525|163341766
6|unidentified|322339|409027920
4|unidentified|338790943|225550425296
4|XBox Live|1473304|299114614
4|XMPP|10464049|2563245915
4|XNS|170|8051
