ip version|protocol|packets|bytes
4|AH|415|87280
4|ESP|19620070|9165487102
6|ESP|98476|16098480
4|GRE|903802|505489935
4|ICMP|44266509|6581371042
4|I-NLSP|134|2814
4|IPv4|6280|1136263
4|IPv6|21467|1735134
6|IPv6-ICMP|9661656|815744974
4|PNNI|1|161
6|TCP|148818541|70326531148
4|TCP|4706022704|1518773588522
4|UDP|1010474266|447016617273
6|UDP|40079415|8953810435
4|Unassigned|5|305
