ip version|protocol|packets|bytes
4|ESP|9039175|7314005732
4|GRE|15276|1507834
4|ICMP|8698288|1802786444
4|IPv6|23|2272
6|IPv6-ICMP|1769314|137828245
4|Reserved|863|51905
4|TCP|1181561104|1121863583862
6|TCP|649602|892220866
4|UDP|289010264|220418613002
6|UDP|5308975|1234859313
