ip version|application name|packets|bytes
6|BitTorrent|65|10157
4|BitTorrent|9180043|6490120763
6|Brodos Crypto Trade Protocol|6034|440093
4|Brodos Crypto Trade Protocol|8164285|5058915828
4|Clash of Clans|1137344|63795231
6|Clash of Clans|5|1658
4|DNS|26639117|5687934645
6|DNS|6538513|930525767
4|FCP|49|2084
4|GNUnet|3305996|4837494574
6|HTTP|19421|22442427
4|HTTP|463175237|559238014703
6|HTTPS|405291|487563547
4|HTTPS|966122046|963131964854
4|IMAPS|2747132|3012389008
4|IPSec NAT Traversal|2664340|2205747301
4|Microsoft DS|23229879|2003816411
4|NNTP|6721|891590
4|NNTPS|601|36079
4|Not TCP/UDP|17742400|5732166601
6|Not TCP/UDP|2429204|192138581
4|NTP|10025390|476236719
6|NTP|2657|255072
6|OpenVPN|1|308
4|OpenVPN|691297|677126724
4|QUIC|12531936|14304251160
6|QUIC|161666|54800915
4|Remote Shell|193036|19515518
4|RTSP|1167499|282537595
4|SMTP|5792723|974984288
6|SMTP|6|360
4|SSH|4737039|1712814614
4|STUN/TURN|1568874|645935750
6|STUN/TURN|2|744
4|Sun Proxy Admin Service|11129700|15582091738
6|Sun Proxy Admin Service|130|8025
4|Tor|2713484|168088839
4|unidentified|517656907|317746454896
6|unidentified|877206|1091700845
6|XBox Live|1|308
4|XBox Live|2370357|498370167
4|XMPP|12290624|3520337200
4|XNS|53|3702
