ip version|port|bytes
6|24866|581
4|55164|68605503
6|26253|1334
4|53777|3033889
6|24867|803
6|26254|315
4|55165|5061920
4|53778|12176707
6|24868|1353
6|26255|4520
4|55166|15730070
4|53779|45512286
6|26256|932
4|55167|3298926
6|24869|2760
6|50450|229840
6|26257|1688
4|55168|14255681
6|50451|571008
6|26258|1089
4|55169|13159478
6|50452|238002
6|26259|979
6|50453|368862
6|50454|2174793
6|50455|42010
6|50456|1419704
6|50457|1215352
6|50458|102653
4|36560|2865508
6|50459|250041
4|36561|14905442
4|36562|5860498
4|36563|1678593
4|36564|4621756
4|36565|3062455
4|60760|45665743
4|36566|7686584
4|60761|9272827
6|31850|1229
4|36567|11557604
6|31851|574
4|60762|3806981
4|36568|8723981
4|60763|9365482
6|31852|1887
4|36569|5646616
4|62150|13569911
6|31853|892
4|60764|113680839
4|62151|15754811
6|33240|2051
6|33241|1214
4|60765|16765976
6|31854|1104
4|62152|5568535
4|60766|20824832
6|31855|3127
4|62153|19815568
6|33242|1868
6|33243|2240
4|60767|9333725
6|31856|1113
4|62154|4801729
6|33244|2646
6|31857|1649
4|60768|14874968
4|62155|2865642
6|31858|631
4|60769|7201839
4|62156|3583849
6|33245|983
4|17960|1394123
6|31859|2547
4|62157|2506010
6|33246|8542
6|33247|3819
4|17961|2168859
4|62158|5102159
4|17962|1163088
4|62159|6019987
6|33248|1863
4|17963|5799523
4|19350|1242295
6|33249|452
4|17964|1850275
4|19351|78966401
4|17965|1174520
4|19352|1637946
4|17966|2378908
4|19353|39215496
4|17967|2367399
4|19354|1524813
4|17968|1314289
4|19355|47474760
4|17969|1163184
4|43550|4651237
4|19356|5690135
6|14640|1835
4|43551|1888311
4|19357|3485191
4|43552|6337651
6|14641|884
4|19358|36512563
4|43553|4321985
6|14642|3039
4|19359|1939266
6|16030|1090
4|43554|4940601
6|14643|2260
6|16031|1792
4|43555|1871383
6|14644|1521
6|16032|1040
4|43556|4229228
6|14645|1481
6|16033|2517
4|43557|7029273
6|14646|1757
6|16034|12017
4|43558|4268458
6|14647|1318
6|14648|858
6|16035|2465
4|43559|19098942
6|14649|1347
6|16036|1150
6|40230|2053
6|16037|2388
6|40231|2264
6|16038|1241
6|40232|1195
6|1870|688
6|16039|1996
6|40233|13520
6|1871|1026
6|40234|75415
6|1872|1264
6|40235|9328
6|1873|1418
6|3260|240063
6|40236|3227
6|3261|270837
6|40237|1204
6|1874|765
4|65390|10956465
6|1875|727
6|40238|19744
6|3262|592
4|65391|4166143
6|1876|642
6|40239|2637
4|26340|7970868
6|3263|1496
4|65392|27012426
6|1877|38460
6|3264|1001
4|26341|2222618
4|65393|3592053
4|26342|23467607
6|1878|1834
6|57900|192403
6|3265|121905
4|65394|3502088
6|1879|1167832
6|3266|394108
4|26343|7316637
6|57901|435492
4|65395|2094664
6|57902|288826
4|26344|2671895
6|3267|1179
4|65396|23531558
6|57903|20565
4|26345|1736798
4|8290|52561433
6|60680|28644
6|3268|18419
4|65397|16330735
4|26346|2845183
4|8291|19958564
6|60681|13536
6|57904|102585
6|3269|574979
4|65398|8321045
4|26347|1388114
4|8292|34244876
6|60682|71690
6|57905|255310
4|65399|12138650
4|26348|7915596
4|8293|719115
6|60683|9533
6|57906|66564
6|60684|125176
4|26349|2282882
4|8294|4360949
6|57907|419679
6|23020|2535
6|57908|71899
4|8295|1166125
6|60685|97676
6|60686|10365
4|8296|2263414
6|23021|2286
6|57909|165569
4|8297|1184246
6|23022|1034
6|60687|81840
6|60688|234236
4|8298|28068127
6|23023|1176
6|23024|1725
4|46790|5017630
4|8299|2127937
6|60689|350746
6|17880|1444
4|46791|5034651
6|23025|1921
6|23026|809
6|17881|695
4|46792|19388785
4|46793|941844
6|17882|1382
6|23027|50470
4|48180|10453645
6|17883|1101
4|46794|1800757
6|23028|45630
4|48181|1544949
6|17884|1454
4|46795|1623189
6|23029|52105
4|48182|13352973
6|17885|1838
4|46796|2629650
4|48183|10278624
6|17886|1066
4|46797|11909635
4|48184|7107225
4|46798|18134606
6|17887|965
4|48185|12463892
6|17888|1236
4|46799|8935689
4|48186|1943709
6|43470|2204
6|17889|1753
4|48187|4888960
6|43471|1932
4|48188|6374461
6|43472|3135
4|48189|2985615
6|43473|2261
6|43474|976473
6|43475|1187
6|43476|1882
6|43477|3504
6|43478|2956
4|29580|2250709
6|43479|10068
4|29581|7706714
4|29582|2613158
4|29583|2610364
4|29584|1304333
4|29585|1496764
4|29586|1313546
4|53780|10082783
6|24870|1604
4|29587|16302669
4|53781|11983587
4|29588|1325105
4|53782|8427877
6|24871|467
6|24872|1201
4|29589|1678541
4|55170|80745991
4|53783|6129855
6|24873|1539
6|26260|1194
4|55171|53414107
4|53784|4424010
6|26261|422
4|55172|3789089
4|53785|22308081
6|24874|28916
6|26262|236
6|24875|1621
4|55173|2798357
4|53786|7813134
6|24876|1355
4|55174|10833423
6|26263|1384
