ip version|port|bytes
6|24866|1554
4|55164|13452382
6|26253|4977
4|53777|17910227
6|24867|2350
6|26254|4275
4|55165|7903773
4|53778|21442531
6|26255|2774
4|55166|132680955
4|53779|3952480
6|24868|2949
6|24869|15339
4|55167|109444734
6|26256|2424
6|50450|96979
6|26257|790
4|55168|18073557
6|50451|8206
6|26258|1163
4|55169|3927649
6|50452|11037
6|50453|13349
6|26259|1175
6|50454|12149
6|50455|2136
6|50456|14968
6|50457|10766
6|50458|100055
6|50459|2885
4|36560|2961146
4|36561|2197489
4|36562|7540116
4|36563|4811295
4|36564|2459859
4|36565|2860011
4|60760|16100397
4|36566|38450048
4|60761|26576611
6|31850|4923
4|36567|2950392
6|31851|2104
4|60762|4341728
4|36568|190120371
6|31852|1646
4|60763|2404370
4|36569|2480032
4|62150|2372716
6|33240|2492
4|60764|3634360
6|31853|1492
4|62151|12842467
6|31854|2277
4|60765|777001964
4|62152|17239402
6|33241|4487
6|33242|2346
4|60766|2746397
6|31855|668
4|62153|69493554
6|31856|2219
6|33243|3187
4|60767|9508203
4|62154|5105571
6|33244|563716
4|60768|6820252
6|31857|2060
4|62155|36557145
6|31858|1945
6|33245|2238
4|60769|2040976
4|62156|25613863
6|31859|2212
4|17960|788298
4|62157|7757262
6|33246|7049
4|17961|2571390
4|62158|47195601
6|33247|2883
6|33248|1645
4|17962|254970
4|62159|107825731
6|33249|1307
4|17963|450857
4|19350|6288523
4|17964|4216937
4|19351|6375786
4|17965|636034
4|19352|1550551
4|17966|2782627
4|19353|3006696
4|17967|79739785
4|19354|36804170
4|17968|808032
4|19355|183116112
4|17969|1240415
4|43550|2288353
4|19356|750737
4|43551|2891388
6|14640|1926
4|19357|991410
6|14641|1360
4|43552|24355850
4|19358|1178797
4|43553|4991658
6|14642|31303
4|19359|2002615
6|16030|2152
4|43554|73352697
6|14643|1653
6|16031|1702
4|43555|4553087
6|14644|2128
6|16032|2337
6|14645|664
4|43556|5365168
6|14646|94445
6|16033|2723
4|43557|1529931
6|16034|2001
6|14647|2283
4|43558|7897106
6|16035|1451
4|43559|5715272
6|14648|1704
6|14649|2489
6|16036|2040
6|40230|2213
6|16037|3148
6|40231|148920
6|16038|1148
6|40232|3446
6|1870|971
6|16039|3217
6|40233|4805
6|1871|1144
6|40234|2354
6|1872|1363
6|40235|18244
6|1873|1113
6|3260|1509
6|40236|6533
6|40237|1891
6|1874|396
6|3261|1870
4|65390|4078415
6|3262|509
6|1875|1098
6|40238|2810
4|65391|1174294
6|40239|1818
6|3263|953
4|26340|21114331
6|1876|1343
4|65392|13764592
6|3264|850
4|26341|2083956
6|1877|1230
4|65393|1585052
6|3265|805
4|26342|940436
6|1878|1185
6|57900|9969
4|65394|10917799
6|57901|27055
6|1879|1024
4|26343|2393426
6|3266|2175
4|65395|1957611
6|3267|415
6|57902|7271
4|26344|22352587
4|65396|3052238
6|3268|474
6|60680|26675
4|26345|807431
4|8290|13871786
6|57903|1831
4|65397|21916647
6|60681|242207
6|57904|7317
6|3269|1691
4|26346|1623687
4|8291|11068181
4|65398|799155
6|57905|8570
4|26347|1580966
4|8292|23842469
6|60682|3049
4|65399|3141228
6|57906|76245
4|26348|1735501
4|8293|527959
6|60683|71470
6|60684|42563
4|26349|1992957
4|8294|3675143
6|57907|3338
4|8295|1524308
6|23020|2660
6|60685|34493
6|57908|2208
6|23021|2117
4|8296|93642213
6|60686|2931
6|57909|8806
4|8297|547998
6|23022|2538
6|60687|44137
4|8298|6107384
6|23023|4439
6|60688|7853
6|60689|16648
4|46790|11626786
4|8299|744676
6|23024|5110
6|23025|1034
4|46791|4497904
6|17880|51556
6|17881|3083
4|46792|2033936
6|23026|1486
6|23027|2681
4|46793|1581287
6|17882|2536
4|48180|27591489
6|23028|1276
4|46794|16386286
6|17883|5383
4|48181|2800082
6|17884|1316
6|23029|3695
4|46795|839446
4|48182|2907205
6|17885|1942
4|46796|4297531
4|48183|7142490
6|17886|6114
4|46797|3207368
4|48184|87992555
4|46798|10601034
6|17887|1977
4|48185|13559873
6|17888|1746
4|46799|11332372
4|48186|3710569
6|17889|4626
6|43470|6389
4|48187|928120
6|43471|2580
4|48188|1862836
6|43472|35487
4|48189|8712925
6|43473|2161
6|43474|1703
6|43475|3117
6|43476|800
6|43477|3021
6|43478|168178
4|29580|5581918
6|43479|5561
4|29581|4289028
4|29582|36553929
4|29583|2662104
4|29584|860088
4|29585|3955923
4|29586|3840836
4|53780|4795611
6|24870|3480
4|29587|7333702
4|53781|1941710
6|24871|1666
4|29588|232138
4|53782|7744673
6|24872|2409
4|29589|608267
4|55170|8571515
4|53783|2313208
4|55171|2713182
6|26260|1407
4|53784|4072087
6|24873|1680
6|26261|423
4|55172|13297609
4|53785|4774708
6|24874|43623
4|55173|8177180
6|26262|4121
4|53786|11823938
6|24875|3647
6|24876|950
6|26263|1865
4|55174|38455665
