ip version|port|bytes
4|55164|8750485
6|26253|1044
4|53777|741978
6|24866|6446
6|24867|581
6|26254|1418
4|55165|2531250
4|53778|8356759
4|55166|3856991
6|26255|312
4|53779|1821046
6|24868|1710
6|26256|829
4|55167|1625375
6|24869|568
6|50450|837
6|26257|1736
4|55168|124711499
6|50451|926
6|50452|1564
4|55169|4490589
6|26258|557
6|26259|1152
6|50453|15954
6|50454|1910
6|50455|535
6|50456|10694
6|50457|1749
6|50458|1246
4|36560|4907027
6|50459|5170
4|36561|1688433
4|36562|2091413
4|36563|10202800
4|36564|1076743
4|36565|1117768
4|60760|4355603
4|36566|2866135
6|31850|1237
4|60761|7378226
4|36567|9956593
6|31851|801
4|60762|3298320
4|36568|4503921
4|60763|1805711
6|31852|1219
4|36569|944584
4|62150|3449030
4|60764|1064704
6|31853|1185
4|62151|1448106
6|33240|1386
4|60765|3108144
6|31854|2448
4|62152|868382
6|33241|4911
6|31855|961
6|33242|1930
4|60766|19635785
4|62153|515527
6|33243|4490
4|60767|41850491
6|31856|708
4|62154|2567748
6|31857|742
4|60768|5199245
4|62155|1802970
6|33244|3207
6|31858|557
6|33245|538
4|60769|11013848
4|62156|3258235
6|33246|56694
4|17960|1318932
6|31859|1442
4|62157|1490182
4|17961|1850437
4|62158|24209854
6|33247|1980
6|33248|230
4|17962|6171036
4|62159|4630867
4|17963|2471746
4|19350|651810
6|33249|6050
4|17964|583532
4|19351|545293
4|17965|682631
4|19352|5380664
4|17966|3442177
4|19353|613145
4|17967|256794041
4|19354|940360
4|17968|2646904
4|19355|592935
4|17969|1126346
4|43550|52884302
4|19356|1214743
4|43551|40061820
6|14640|1289
4|19357|670550
6|14641|1655
4|43552|2315199
4|19358|960687
6|14642|1193
4|43553|3139432
4|19359|363108
6|14643|2573
6|16030|2076
4|43554|2729154
6|16031|1050
6|14644|374
4|43555|518215
6|16032|720
6|14645|1792
4|43556|3674074
6|16033|989
4|43557|663831
6|14646|24190
6|14647|238
6|16034|1655
4|43558|1473302
6|16035|1002
4|43559|672940
6|14648|4738
6|14649|1080
6|16036|2551
6|40230|1504
6|40231|2569
6|16037|2294
6|16038|381
6|40232|1890
6|1870|941
6|16039|1898
6|40233|2827
6|40234|1764
6|1871|953
6|1872|410
6|40235|1114
6|3260|6638
6|40236|9092
6|1873|372
6|40237|3027
6|3261|7913
6|1874|814
4|65390|1359239
6|1875|1076
6|3262|1167
6|40238|2072
4|65391|7309028
6|40239|1612
6|1876|402
6|3263|1388
4|26340|929296
4|65392|389568
6|1877|455
6|3264|514
4|26341|68700768
4|65393|525941
6|1878|784
4|26342|782658
6|57900|10600
6|3265|1128
4|65394|648945
6|1879|247
6|3266|1241
4|26343|2179900
6|57901|7200
4|65395|439495
4|26344|1082935
6|57902|3270
6|3267|1220
4|65396|5553761
6|57903|1105
4|26345|53872848
4|8290|1118821
6|60680|15383
6|3268|1093
4|65397|848530
6|60681|1681
4|26346|604437
4|8291|2674996
6|57904|5263
6|3269|952
4|65398|185709715
4|26347|945334
4|8292|4931689
6|60682|1483
6|57905|853
4|65399|1569760
6|57906|1852
6|60683|2134
4|26348|1012762
4|8293|338356
6|57907|1789
6|60684|2249
4|26349|607769
4|8294|22199528
6|23020|11247
4|8295|1825716
6|60685|7098
6|57908|5756
6|23021|635
4|8296|6190015
6|60686|2398
6|57909|35737
6|23022|1084
4|8297|562990
6|60687|2765
6|60688|1422
4|8298|531752
6|23023|582
6|23024|539
4|46790|17992556
4|8299|372526
6|60689|333120
6|17880|195
4|46791|1310728
6|23025|880
6|17881|1213
4|46792|2619368
6|23026|1731
6|17882|169
6|23027|833
4|46793|857908
4|48180|3304062
6|23028|670
6|17883|1179
4|46794|3809815
4|48181|422461
6|17884|1164
6|23029|1361
4|46795|1789766
4|48182|2208570
6|17885|1023
4|46796|1207295
4|48183|38556902
4|46797|27281808
6|17886|846
4|48184|1471805
6|17887|1366
4|46798|3407919
4|48185|825129
4|46799|1501652
6|17888|1247
4|48186|1708066
6|43470|1182
6|17889|942
4|48187|2107948
6|43471|807
4|48188|7001963
6|43472|1683
4|48189|5040745
6|43473|1581
6|43474|1802
6|43475|3424
6|43476|2193
6|43477|2796
6|43478|1125
6|43479|5182
4|29580|5566227
4|29581|1138253
4|29582|1669416
4|29583|1354438
4|29584|559713
4|29585|801193
4|29586|52311356
4|53780|24451473
4|29587|730495
4|53781|7832574
6|24870|1481
4|29588|873324
4|53782|31610641
6|24871|1444
4|29589|386925
4|55170|2973108
4|53783|4225151
6|24872|837
4|55171|36376004
4|53784|1188718
6|24873|1690
6|26261|2497
4|55172|4995443
4|53785|7027720
6|24874|28734
6|26262|587
4|55173|1297419
4|53786|14367352
6|24875|1252
6|26263|320
6|24876|627
4|55174|9222861
4|53787|7487768
6|26264|796
4|55175|1400399
4|53788|6333820
6|24877|1011
4|55176|9149856
6|26265|917
4|53789|1712447
6|24878|1072
6|24879|1320
6|26266|809
4|55177|2586238
6|50460|1226
6|26267|1653
4|55178|6668281
6|50461|1900
6|50462|2853
4|55179|3560169
6|26268|1209
6|26269|675
6|50463|83374
6|50464|2025
6|50465|8783
6|50466|973
6|50467|14333
6|50468|6221
6|50469|333
4|36570|4509123
4|36571|2244846
4|36572|982700
4|36573|2779834
4|36574|3586368
4|36575|2247079
4|60770|1589261
4|36576|4348010
4|60771|1203372
6|31860|942
4|36577|678484
6|31861|970
4|60772|9569852
4|36578|5410713
6|31862|1652
4|60773|1286964
4|36579|4099258
4|62160|8924283
4|60774|13713868
6|31863|2220
4|62161|1178685
6|33250|2620
6|33251|1822
4|60775|1801924
6|31864|1485
4|62162|3329636
6|31865|1684
4|60776|1628739
4|62163|4377753
6|33252|2533
6|33253|1345
4|60777|21820517
6|31866|1369
4|62164|1098480
6|31867|1109
6|33254|1403
4|60778|1536432
4|62165|1683903
4|60779|1067686
6|31868|1506
4|62166|2186142
6|33255|794
6|31869|707
6|33256|1990
4|17970|8057875
4|62167|21357356
6|33257|931
4|17971|479377
4|62168|8567744
6|33258|2134
4|17972|2761923
4|62169|669528
4|17973|1114401
4|19360|917697
6|33259|4381
4|17974|2402321
4|19361|1315126
4|17975|721856
4|19362|3040191
4|17976|1742059
4|19363|749585
4|17977|1450856
4|19364|3881842
4|17978|368117
4|19365|879191
4|17979|29165007
4|43560|44933547
4|19366|470092
4|43561|345036
6|14650|1363
4|19367|2197851
6|14651|879
4|43562|1974632
4|19368|460014
6|14652|481
4|43563|16018392
4|19369|762631
6|16040|947
4|43564|30358812
6|14653|547
6|16041|2233
4|43565|430015
6|14654|3731
6|16042|1559
4|43566|2529877
6|14655|1330
6|14656|1576
6|16043|742
4|43567|945192
6|14657|1091
6|16044|1110
4|43568|3073111
6|16045|1547
4|43569|7141755
6|14658|1683
6|16046|2130
6|14659|1638
6|40240|1623
6|16047|1308
6|40241|2118
6|16048|557
6|40242|1341
6|1880|701
6|16049|1371
6|40243|4702
6|1881|479
6|40244|1820
6|1882|474
6|40245|1573
6|1883|409
6|40246|48628
6|3270|812
6|40247|1742
6|3271|668
6|3272|543
6|40248|1496
6|1885|746
6|3273|948
6|1886|477
4|26350|460928
6|40249|3660
6|1887|539
6|3274|624
4|26351|782245
6|1888|95
6|3275|450
6|57910|1677
4|26352|1895270
4|26353|1155563
6|1889|810
6|57911|3193
6|3276|677
6|57912|1139
4|26354|616925
6|3277|612
6|3278|927
4|26355|926922
6|60690|2070482
6|57913|6409
6|3279|719
4|26356|8426911
6|60691|2363
6|57914|1453
4|26357|1219392
6|60692|1650
6|57915|2275
6|60693|884
4|26358|522878
6|57916|863
4|26359|10467307
6|60694|1834
6|57917|2742
6|23030|460
6|60695|236315
6|57918|11177
6|60696|125146
6|23031|1854
6|57919|13964
6|23032|795
6|60697|8490
6|23033|1033
6|60698|8397
6|60699|1659
6|23034|1954
6|23035|1066
6|17890|20504
6|17891|1124
6|23036|1089
6|23037|102
6|17892|987
4|48190|3236233
6|17893|1364
6|23038|1286
4|48191|434861
6|23039|2180
6|17894|2424
4|48192|3511268
6|17895|592
4|48193|5214667
6|17896|3386
4|48194|73579115
6|17897|1021
4|48195|11396817
6|17898|670
4|48196|1278099
6|17899|1082
6|43480|1430
4|48197|3389759
6|43481|1064
4|48198|2575778
6|43482|16789
4|48199|17034467
6|64900|1244
6|43483|5931
6|64901|431
6|43484|9456
6|64902|1447
6|43485|283
6|64903|567
6|43486|1712
6|64904|991
6|43487|700
6|43488|1514
6|64905|1189
4|29590|3510080
6|43489|764
6|64906|2031
6|64907|1337
4|29591|12619466
6|64908|8904
4|29592|514085
6|64909|734
4|29593|435690
4|29594|745575
4|29595|1328202
4|29596|1903655
4|53790|4792095
4|29597|3927977
4|53791|684535
6|24880|3118
6|24881|815
4|29598|9139192
4|53792|95226190
6|24882|1637
4|29599|9752569
4|55180|1782353
4|53793|763822
6|24883|1661
4|55181|23775539
6|26270|660
4|53794|3190625
6|24884|1267
4|55182|6267325
6|26271|1612
4|53795|202996042
6|26272|1872
4|55183|1587387
4|53796|1733878
6|24885|1917
6|26273|1206
4|55184|21439720
4|53797|10629729
6|26274|739
4|55185|1539564
4|53798|6946278
6|24887|1948
6|26275|1942
6|24888|1159
4|55186|21331905
4|53799|8402703
4|55187|1859611
6|26276|2042
6|24889|1197
6|50470|8240
4|55188|1864137
6|26277|528
6|50471|113587
4|55189|1349487
6|26278|1773
6|50472|2414
6|26279|1588
6|50473|1392
6|50474|1707
6|50475|88478
6|50476|1982
6|50477|10190
6|50478|2106
4|36580|2148213
6|50479|2277
4|36581|11059882
4|36582|6648732
4|36583|1004883
4|36584|1534643
4|36585|1020374
4|60780|1553952
4|36586|3219325
4|60781|1995679
6|31870|61302
4|36587|608172
4|60782|1808967
6|31871|9962
4|36588|3695338
4|60783|744749
6|31872|729
4|36589|1318229
4|62170|1115755
6|33260|1822
4|60784|3259066
6|31873|1895
4|62171|1805244
6|33261|1199
4|60785|1636935
6|31874|1811
4|62172|3658619
4|60786|4395880
6|31875|1651
4|62173|397985
6|33262|2088
6|31876|821
4|60787|887628
4|62174|2500837
6|33263|2700
6|33264|1963
4|60788|2287918
6|31877|2194
4|62175|2781708
6|33265|1226
6|31878|1031
4|60789|938957
4|62176|2314761
6|33266|4364
6|31879|670
4|17980|18796011
4|62177|1543602
6|33267|539
4|17981|2604516
4|62178|50330960
4|17982|11272491
4|62179|1013066
6|33268|1856
4|17983|1144239
4|19370|2591936
6|33269|7890
4|17984|4903903
4|19371|1797971
4|17985|863323
4|19372|530705
4|17986|603662
4|19373|31470911
4|17987|176952956
4|19374|876099
4|17988|1367728
4|19375|3732676
4|17989|494287
4|43570|1332962
4|19376|734458
4|43571|1663842
6|14660|714
4|19377|2368883
6|14661|776
4|43572|2123893
4|19378|6901125
4|43573|453069
6|14662|5924
4|19379|1167541
6|16050|1555
4|43574|5147452
6|14663|1495
6|14664|914
6|16051|1008
4|43575|940341
6|16052|1047
4|43576|2682373
6|14665|1721
6|14666|1031
6|16053|1515
4|43577|413961
6|16054|490
6|14667|1184
4|43578|11629822
6|16055|3022
4|43579|1488127
6|14668|1028
6|14669|1020
6|16056|1772
6|40250|21010
6|16057|3866
6|40251|11822
6|40252|1029
6|16058|1084
6|16059|673
6|40253|680
6|1890|710
6|1891|1345
6|40254|8772
6|1892|1540
6|40255|2240
6|1893|476
6|40256|2073
6|3280|1617
6|40257|505
6|1894|413
6|3281|1107
6|40258|979
6|1895|2442
6|3282|250
6|3283|737
4|26360|1706055
6|1896|238
6|40259|2853
6|1897|799
6|3284|431
4|26361|1972578
6|1898|176
6|3285|661
6|57920|182
4|26362|520668
6|3286|1519
6|1899|94
4|26363|812559
6|57921|4145
4|26364|877913
6|57922|1956
6|3287|1178
6|3288|1883
6|57923|652
4|26365|2244761
