ip version|application name|packets|bytes
6|BitTorrent|30|5487
4|BitTorrent|5863277|3635977058
6|Brodos Crypto Trade Protocol|23|3496
4|Brodos Crypto Trade Protocol|6013330|4794628041
4|Clash of Clans|1235313|71928637
6|DNS|12102433|2701346830
4|DNS|73850352|14771909264
4|FCP|34|1674
4|GNUnet|278201|402597515
6|GNUnet|3|180
6|HTTP|27126|35592562
4|HTTP|442503725|530345645304
6|HTTPS|85094|94570715
4|HTTPS|901561781|848107562951
6|IMAPS|3|180
4|IMAPS|687246|611349115
4|IPSec NAT Traversal|2294198|2464815269
4|Microsoft DS|24520626|2141338853
6|Microsoft DS|5|300
6|NNTP|2|120
4|NNTP|5949|356669
4|NNTPS|77|3256
4|Not TCP/UDP|19471304|9424372257
6|Not TCP/UDP|2910688|229159283
6|NTP|2585|248160
4|NTP|8097532|1747316526
4|OpenVPN|1575493|1361544980
4|QUIC|14985463|17317230282
6|QUIC|583|268125
4|Remote Shell|224423|22199631
4|RTMP|4560211|4293972379
4|RTSP|132145|52646174
6|RTSP|4|240
4|SMTP|6320334|1133140944
6|SMTP|9153|13434871
4|SSH|3842229|598056633
4|STUN/TURN|1325988|409441288
4|Sun Proxy Admin Service|1679844|2224606030
6|Sun Proxy Admin Service|23|1416
6|Tor|2|120
4|Tor|2914455|182255374
4|unidentified|440756434|285742687233
6|unidentified|69748|64291502
4|XBox Live|1074665|217441466
4|XMPP|11142717|2813401097
6|XMPP|5|300
4|XNS|615|45083
