ip version|application name|packets|bytes
4|BitTorrent|34071911|18216997420
6|BitTorrent|76786|36260600
6|Brodos Crypto Trade Protocol|106392|87155252
4|Brodos Crypto Trade Protocol|29222204|20690573198
6|Clash of Clans|350|38679
4|Clash of Clans|3809891|205083663
6|DNS|19706340|2194781744
4|DNS|63496340|48731056745
4|FCP|1185790|1669875838
6|GNUnet|183|133370
4|GNUnet|2767994|157336419
4|HTTP|1135072301|361804862202
6|HTTP|14268886|7569000353
4|HTTPS|2371351423|812846170331
6|HTTPS|56403055|19143696754
6|IMAPS|3591|4444711
4|IMAPS|4961407|1081953445
4|IPSec NAT Traversal|17275236|4344607443
6|IPSec NAT Traversal|365|43006
4|Microsoft DS|22514126|1681135987
4|NNTP|55520|19747157
4|NNTPS|3190|240097
4|Not TCP/UDP|64818683|16255310036
6|Not TCP/UDP|9760132|831843454
6|NTP|5221308|501245554
4|NTP|83219057|25423831898
4|OpenVPN|2455649|830646752
6|OpenVPN|4977|899160
4|QUIC|14574849|6554842331
6|QUIC|85619|114987790
4|Remote Shell|2678196|2119640035
4|RTSP|3256048|2749272009
6|SMTP|13111|3554481
4|SMTP|15272671|7129114204
4|SSH|17441411|11315522005
6|SSH|23277|19267725
6|STUN/TURN|316486|104632680
4|STUN/TURN|3952969|1315052391
4|Sun Proxy Admin Service|4760612|697296458
6|Sun Proxy Admin Service|93|6944
4|Tor|10155140|13046858023
6|Tor|282|76679
4|unidentified|1297403779|543498347060
6|unidentified|92662822|49499537333
6|XBox Live|317|35069
4|XBox Live|7377485|1547524778
6|XMPP|3714|543534
4|XMPP|568156065|78112181930
6|XNS|2|165
4|XNS|5706|435976
