ip version|port|bytes
6|24866|1154
4|55164|13501226
6|26253|1316
4|53777|4610330
6|24867|138
4|55165|6583460
6|26254|1562
4|53778|12555903
6|26255|248
4|55166|6243929
4|53779|5485971
6|24868|1789
6|24869|29145
6|26256|956
4|55167|11341181
6|50450|482317
6|26257|1119
4|55168|13057763
6|50451|220942
4|55169|8149831
6|26258|1577
6|50452|1467282
6|26259|190
6|50453|1204252
6|50454|164850
6|50455|510211
6|50456|1866149
6|50457|738699
6|50458|285628
4|36560|9215836
6|50459|2644882
4|36561|60173076
4|36562|5527153
4|36563|2275980
4|36564|4556306
4|36565|10110437
4|60760|7975737
4|36566|10471277
6|31850|2366
4|60761|4618278
4|36567|6185656
6|31851|385
4|60762|17933553
4|36568|20253676
4|60763|2406107
6|31852|1184
4|36569|3968338
4|62150|4838578
6|33240|67835
6|31853|537
4|60764|34939489
4|62151|3658672
6|31854|534
4|60765|6701070
4|62152|19915138
6|33241|1054
6|31855|512
6|33242|1284
4|60766|31523469
4|62153|106686828
6|33243|2970
4|60767|5598129
6|31856|212004
4|62154|27373117
4|60768|12213719
6|31857|46751
4|62155|4181795
6|33244|10451
6|31858|389
4|60769|16421884
4|62156|34467400
6|33245|83882
6|31859|570
4|17960|3173806
4|62157|11096235
6|33246|1475
6|33247|206
4|17961|2632139
4|62158|13857700
4|17962|5009779
4|62159|8426607
6|33248|970
4|17963|2649070
4|19350|4565458
6|33249|1703
4|17964|17870066
4|19351|5400454
4|17965|2805770
4|19352|2576579
4|17966|5708129
4|19353|3007237
4|17967|2983551
4|19354|3830092
4|17968|7011812
4|19355|1517412
4|17969|17059741
4|43550|9626714
4|19356|3234948
6|14640|535
4|43551|4995817
4|19357|2516859
4|43552|6108093
6|14641|764
4|19358|2984094
4|43553|5966093
6|14642|1239
4|19359|3484505
6|14643|1681
6|16030|1293
4|43554|7784831
6|16031|704
6|14644|247
4|43555|3406219
6|14645|802
4|43556|25765461
6|14646|352
4|43557|7223768
6|16034|204
6|14647|878
4|43558|67350918
6|14648|4643
6|16035|822
4|43559|17283412
6|40230|4478
6|14649|680
6|16036|888
6|16037|962
6|40231|1306
6|40232|666
6|16038|971
6|16039|740
6|1870|18619
6|40233|539
6|1871|34290
6|40234|1008
6|40235|555
6|1872|10863
6|1873|2254
6|40236|876
6|3260|2063
6|3261|373
6|1874|166
6|40237|1161
4|65390|4421803
6|1875|7400
6|40238|6142
4|65391|2877801
6|3263|287
6|40239|678
4|26340|5972441
4|65392|11350889
6|3264|359
4|26341|3498116
6|1877|28204
4|65393|3087715
6|3265|241
6|1878|348
4|26342|12389256
6|57900|12532
4|65394|26881533
6|1879|2778
4|26343|2368235
6|57901|4669914
4|65395|3536005
6|3267|579
4|26344|4075843
6|57902|20108
4|65396|20935568
6|57903|22334
4|26345|3907614
4|8290|32612018
6|60680|27935
6|3268|208
4|65397|3460908
6|3269|7995
6|57904|38230
6|60681|38309
4|26346|45327388
4|8291|17655923
4|65398|4989266
6|57905|8818
4|26347|45492518
4|8292|14025654
6|60682|91715
4|65399|13477370
4|26348|5580381
4|8293|6458613
6|60683|321003
6|57906|8262
4|26349|2971981
4|8294|7899825
6|60684|207009
6|57907|25814
6|60685|14693
4|8295|7465075
6|23020|1646
6|57908|44943
6|23021|319
6|60686|140753
4|8296|3638383
6|57909|11513
6|23022|1599
4|8297|2458973
6|60687|119897
4|8298|13124412
6|23023|825
6|60688|4600
4|46790|8153990
4|8299|2939880
6|23024|1382
6|60689|34239
6|17880|635
4|46791|22201964
6|23025|2109
6|17881|597
4|46792|21480822
6|23026|877
6|23027|280
4|46793|5724950
6|17882|634
4|48180|5602872
6|17883|903
4|46794|8405195
6|23028|1458
4|48181|3208725
4|46795|4216591
6|17884|685969
6|23029|1470
4|48182|10204814
4|46796|6236213
6|17885|808
4|48183|16038607
6|17886|1292
4|46797|3219170
4|48184|6422678
6|17887|101
4|46798|6932945
4|48185|3775371
6|17888|940
4|46799|5798540
4|48186|272701391
6|17889|1063
6|43470|8525
4|48187|5953651
6|43471|5709
4|48188|6005606
6|43472|25014
4|48189|9347842
6|43473|1096
6|43474|122645
6|43475|826
6|43476|1528
6|43477|4235
6|43478|815
4|29580|9201516
6|43479|625
4|29581|2300454
4|29582|2351519
4|29583|2865613
4|29584|3000169
