ip version|protocol|packets|bytes
4|AH|484252|156724092
4|BNA|1|52
4|ESP|21119741|9287515696
6|ESP|23818|3712568
4|GRE|5169916|1318857218
4|ICMP|41039024|5879957389
4|I-NLSP|1|52
4|IPv4|29749|6652983
4|IPv6|9074|737141
6|IPv6-ICMP|13630907|1174563628
4|TCP|4292440530|1513130704472
6|TCP|71665471|29852096436
6|UDP|25095791|5132809450
4|UDP|932280511|424762800712
4|Unassigned|5|506
