ip version|port|bytes
6|24866|51319
4|55164|43069129
6|26253|50437
4|53777|15929289
6|24867|37785
6|26254|39296
4|55165|17039186
4|53778|62332278
6|26255|52542
6|24868|50941
4|55166|30110721
4|53779|22817634
4|55167|20346717
6|26256|265092
6|24869|29456
6|50450|1150884
4|55168|123872255
6|26257|88358
6|50451|1287760
6|26258|61785
4|55169|21198395
6|50452|830170
6|26259|67070
6|50453|1259074
6|50454|2040918
6|50455|933959
6|50456|1008311
6|50457|802328
6|50458|5271973
4|36560|13461351
6|50459|1715392
4|36561|11339370
4|36562|12175152
4|36563|12040072
4|36564|16429190
4|36565|44614016
4|60760|23482806
4|36566|17341759
6|31850|51112
4|60761|34591964
4|36567|61702879
6|31851|36744
4|60762|38463451
4|36568|21698983
6|31852|113391
4|60763|13789840
4|36569|36487664
4|62150|16766531
4|60764|21972252
6|31853|68748
4|62151|8625042
6|33240|133576
6|31854|42530
6|33241|55915
4|60765|33633507
4|62152|17769814
6|31855|33546
4|60766|21630032
4|62153|15767445
6|33242|66051
6|31856|46020
4|60767|17136191
4|62154|114966062
6|33243|70180
6|31857|40858
4|60768|64734525
4|62155|10407051
6|33244|62054
6|31858|46418
4|60769|43721478
4|62156|23365300
6|33245|64617
6|33246|94013
4|17960|11192297
6|31859|46897
4|62157|10522190
4|17961|9465480
4|62158|13728380
6|33247|72624
4|17962|14517493
4|62159|23714639
6|33248|69288
6|33249|115613
4|17963|7618827
4|19350|6683043
4|17964|11650177
4|19351|9250738
4|17965|8939244
4|19352|10261730
4|17966|10314810
4|19353|5265940
4|17967|5354186
4|19354|6395689
4|17968|11264537
4|19355|6324015
4|17969|7470972
4|43550|12982134
4|19356|12078817
6|14640|39585
4|43551|8674352
4|19357|7987215
6|14641|39079
4|43552|29789074
4|19358|4354313
6|14642|42969
4|43553|18633374
4|19359|7556862
6|16030|43280
6|14643|44425
4|43554|15318467
6|16031|48625
4|43555|44612564
6|14644|27204493
6|16032|34376
6|14645|328453
4|43556|23909980
6|16033|41261
6|14646|41193
4|43557|21543401
6|14647|46744
6|16034|38506
4|43558|31794333
6|16035|47101
6|14648|42187
4|43559|12066119
6|14649|44915
6|16036|36389
6|40230|14975196
6|40231|68620
6|16037|39964
6|16038|50063
6|40232|129332
6|16039|38186
6|1870|76028
6|40233|76580
6|1871|49443
6|40234|69390
6|1872|37704
6|40235|68249
6|3260|42072
6|1873|57916
6|40236|69289
6|3261|32100
6|1874|53799
6|40237|80479
4|65390|10438350
6|3262|53450
6|1875|44303
6|40238|71790
4|65391|11772969
6|3263|38152
4|26340|36526319
6|1876|33446
6|40239|71949
4|65392|13314987
6|3264|38740
6|1877|50423
4|26341|24774458
4|65393|9685054
6|1878|54968
6|3265|47537
4|26342|69853504
6|57900|1256058
4|65394|14761843
6|1879|44545
4|26343|22254154
6|57901|344405
6|3266|270469
4|65395|22580945
6|3267|88932
4|26344|21317719
6|57902|323740
4|65396|14157590
6|3268|57093
4|26345|33290719
4|8290|18158723
6|60680|215092
6|57903|312697
4|65397|8071281
6|3269|38025
4|26346|37747157
4|8291|13853913
6|60681|289158
6|57904|701204
4|65398|17964785
4|26347|41494443
4|8292|17641268
6|60682|3028789
6|57905|139267
4|65399|15920403
4|26348|27035209
4|8293|4093052
6|60683|662834
6|57906|151329
4|26349|20867556
4|8294|13035702
6|60684|421647
6|57907|639250
6|23020|36049
4|8295|7753246
6|60685|104854
6|57908|671039
4|8296|8937322
6|23021|48523
6|60686|298889
6|57909|522581
6|23022|49816
4|8297|5872471
6|60687|186422
6|23023|47741
4|8298|8229550
6|60688|32251069
6|23024|79880
4|46790|34022431
4|8299|10135198
6|60689|103433
6|17880|39553
6|23025|50978
4|46791|27248601
6|23026|821634
4|46792|19329291
6|17881|45024
6|17882|51250
4|46793|12397783
6|23027|37952
4|48180|23034795
6|23028|44249
6|17883|40042
4|46794|15423140
4|48181|49571847
6|23029|42586
4|46795|14808146
6|17884|118214
4|48182|12870541
6|17885|37707
4|46796|38027874
4|48183|9496872
6|17886|31658
4|46797|46440833
4|48184|31251872
6|17887|44873
4|46798|11710538
4|48185|38364817
4|46799|11307063
6|17888|65618
4|48186|19094108
6|17889|47141
6|43470|76278
4|48187|25616212
6|43471|1309531
4|48188|25339815
6|43472|73511
4|48189|19766408
6|43473|66880
6|43474|78479
6|43475|71028
6|43476|2222836
6|43477|84074
6|43478|19346513
6|43479|64952
4|29580|12828622
4|29581|14733108
4|29582|13130001
4|29583|7418142
4|29584|7162514
4|29585|10227010
4|29586|7760484
4|53780|22807772
6|24870|241348
4|29587|8769224
4|53781|22653574
6|24871|43862
4|29588|10329874
4|53782|30786183
6|24872|923007
4|29589|10502704
4|55170|63006368
4|53783|28892495
6|26260|459403
6|24873|58323
4|55171|20949249
4|53784|21386524
6|24874|3650980
4|55172|25951558
6|26261|42595
4|53785|27690645
6|26262|32628
6|24875|46253
4|55173|107049281
4|53786|29233496
6|24876|33090
4|55174|18359095
6|26263|43644
4|53787|27433278
6|24877|50925
6|26264|49208
4|55175|21499533
4|53788|41753320
6|26265|51388
6|24878|35083
4|55176|139933310
4|53789|73569357
6|26266|67596
4|55177|26608627
6|24879|52302
6|50460|1123499
4|55178|39063993
6|26267|39853
6|50461|1866775
6|26268|48059
4|55179|22025325
6|50462|1254587
6|26269|48189
6|50463|1113584
6|50464|1436212
6|50465|2225607
6|50466|1601614
6|50467|729309
6|50468|1289847
4|36570|13222596
6|50469|710065
4|36571|9111962
4|36572|16363634
4|36573|13845679
4|36574|22122857
4|36575|22746706
4|60770|23990668
4|36576|13626788
6|31860|40724
4|60771|52506597
4|36577|19085149
6|31861|29447
4|60772|25678125
4|36578|37090716
6|31862|1220465
4|60773|12157401
4|36579|13883597
4|62160|18351158
6|31863|51630
6|33250|851139
4|60774|28588730
4|62161|15626467
6|31864|39162
4|60775|9909048
4|62162|19555057
6|33251|84651
6|33252|77069
6|31865|45492
4|60776|37271428
4|62163|9342616
6|31866|50198
4|60777|19599554
4|62164|41131366
6|33253|814487
6|33254|84206
6|31867|47814
4|60778|20393426
