ip version|application name|packets|bytes
6|BitTorrent|175982|181020456
4|BitTorrent|18528116|8165165102
4|Brodos Crypto Trade Protocol|19453454|11224215349
6|Brodos Crypto Trade Protocol|91131|46776386
6|Clash of Clans|74|7953
4|Clash of Clans|7691643|347611990
4|DNS|47750958|25068367196
6|DNS|5849876|656921416
4|FCP|1019705|783215645
6|GNUnet|20|2244
4|GNUnet|51434|10308801
6|HTTP|3254567|1131632464
4|HTTP|626161163|226427629154
4|HTTPS|1908163945|448663338269
6|HTTPS|34763285|3543836800
6|IMAPS|1052|413621
4|IMAPS|3287097|685380421
4|IPSec NAT Traversal|3841162|1625687359
6|IPSec NAT Traversal|80|8812
4|Microsoft DS|15458912|1059576237
6|Microsoft DS|24|2394
4|NNTP|104598|20912773
4|NNTPS|233|11648
6|Not TCP/UDP|10017547|836262823
4|Not TCP/UDP|44155248|12469967766
4|NTP|49205837|12661807991
6|NTP|5698779|547082784
4|OpenVPN|2575853|1670954685
6|OpenVPN|71|7604
6|QUIC|1002|371699
4|QUIC|2708380|913773480
4|Remote Shell|2514754|1650199234
4|RTSP|2171270|2124198732
6|SMTP|28477|7242270
4|SMTP|8745231|4880315778
6|SSH|3413|2649555
4|SSH|9506950|6303169975
4|STUN/TURN|3585067|850870097
6|STUN/TURN|698|153290
4|Sun Proxy Admin Service|2945340|449175188
6|Sun Proxy Admin Service|69|7674
4|Tor|5266925|6767717229
6|Tor|92|61154
6|unidentified|31717948|15366562740
4|unidentified|936645730|439327929881
4|XBox Live|5331108|1021740140
6|XBox Live|88|9655
6|XMPP|3613|527662
4|XMPP|487167789|62482518541
4|XNS|7360|559745
