ip version|port|bytes
4|55164|17817640
6|26253|20090
4|53777|18212445
6|24866|9232
4|55165|22372831
6|26254|4859
4|53778|117853871
6|24867|10270
6|26255|13715
4|55166|30924585
4|53779|9408437
6|24868|15926
6|50450|22315
6|24869|14230
6|26256|9231
4|55167|49993329
6|50451|13252
4|55168|170023398
6|26257|20694
6|26258|20801
4|55169|61199006
6|50452|11081
6|26259|13380
6|50453|9805
6|50454|15240
6|50455|11007
6|50456|18235
6|50457|18603
6|50458|6616
4|36560|21091416
6|50459|15166
4|36561|23159745
4|36562|15904415
4|36563|24491056
4|36564|15803477
4|36565|7118781
4|60760|13295974
4|36566|51135964
6|31850|9888
4|60761|6519814
4|36567|12691214
6|31851|18716
4|60762|29354538
4|36568|19645104
4|60763|8967490
6|31852|14688
4|36569|29038842
4|62150|23718500
6|31853|16020
4|60764|47431039
4|62151|44179254
6|33240|8077
6|33241|11472
4|60765|23103387
6|31854|20487
4|62152|8793396
6|31855|12680
6|33242|16878
4|60766|8822470
4|62153|38532585
4|60767|20697666
6|31856|13431
4|62154|7525502
6|33243|7831
6|31857|20461
4|60768|17281889
4|62155|6667840
6|33244|10198
6|31858|11270
4|60769|19505177
4|62156|38093540
6|33245|11890
4|17960|7653484
6|31859|19552
4|62157|238110574
6|33246|20535
6|33247|10747
4|17961|8117852
4|62158|15285030
4|17962|25075819
4|62159|7757002
6|33248|29070
4|17963|3104980
4|19350|32965191
6|33249|12871
4|17964|3867651
4|19351|1857683
4|17965|1133037
4|19352|5453319
4|17966|8076196
4|19353|1822999
4|17967|5384153
4|19354|21677172
4|17968|14719700
4|19355|1761209
4|17969|2562140
4|43550|9416307
4|19356|17004289
4|43551|39156511
6|14640|20983
4|19357|652565
4|43552|15038789
6|14641|10333
4|19358|2319377
4|43553|26216035
6|14642|16305
4|19359|1190233
6|16030|11405
4|43554|11493513
6|14643|8925
6|16031|15178
6|14644|8965
4|43555|23462305
6|16032|12270
4|43556|23568307
6|14645|11730
6|14646|22967
6|16033|10821
4|43557|19214903
6|16034|10239
4|43558|3933540
6|14647|11759
6|16035|20147
4|43559|6917730
6|14648|25718
6|14649|7971
6|16036|11182
6|40230|22043
6|40231|24498
6|16037|15512
6|40232|12968
6|16038|14953
6|40233|17631
6|16039|22233
6|1870|12379
6|1871|16523
6|40234|22652
6|40235|11666
6|1872|21911
6|1873|18309
6|40236|13198
6|3260|15086
6|1874|11277
6|40237|27465
6|3261|5555
4|65390|7460553
6|40238|8426
6|3262|8021
6|1875|9915
4|65391|4598330
4|26340|19833641
6|1876|11802
6|40239|11708
6|3263|7218
4|65392|11076051
6|1877|20131
4|26341|44989261
6|3264|16628
4|65393|11228474
4|26342|35112532
6|1878|22244
6|57900|22160
6|3265|18817
4|65394|20443913
6|1879|9756
6|3266|9598
6|57901|14088
4|26343|23065847
4|65395|3880509
6|3267|8147
4|26344|44680675
6|57902|17245
4|65396|17412435
4|26345|11396339
4|8290|3378560
6|60680|42264
6|57903|18974
6|3268|11161
4|65397|14006469
6|60681|14370
4|26346|24384705
4|8291|4294117
6|57904|22149
6|3269|21085
4|65398|31751432
6|60682|4416
4|26347|35717339
4|8292|6906575
6|57905|25014
4|65399|20518530
6|60683|15084
6|57906|11697
4|26348|21091671
4|8293|3503960
4|26349|32991720
4|8294|12759078
6|60684|17749
6|57907|11867
6|57908|21817
6|60685|19017
4|8295|3162774
6|23020|15294
4|8296|10264035
6|23021|17632
6|60686|21740
6|57909|9584
4|8297|1795602
6|23022|12322
6|60687|14573
4|8298|7486526
6|23023|8706
6|60688|12934
4|46790|25018740
4|8299|5997463
6|23024|11656
6|60689|8807
4|46791|78343155
6|17880|10892
6|23025|10731
6|23026|19796
4|46792|9307672
6|17881|11629
4|46793|28614565
6|17882|19259
6|23027|12727
4|48180|16811360
4|46794|18675230
6|17883|8773
6|23028|15787
4|48181|16651282
6|23029|27856
4|46795|7775486
6|17884|13148
4|48182|9571005
4|46796|7331251
6|17885|13412
4|48183|17542815
6|17886|16351
4|46797|8498440
4|48184|9463683
4|46798|9983491
6|17887|9006
4|48185|31965028
4|46799|13578190
6|17888|11884
4|48186|140209333
6|17889|12592
6|43470|27265
4|48187|53470580
6|43471|16302
4|48188|48075906
6|43472|17079
4|48189|6740230
6|43473|14883
6|43474|14035
6|43475|12495
6|43476|17378
6|43477|17243
6|43478|10419
4|29580|49359236
6|43479|14228
4|29581|4143192
4|29582|12425190
4|29583|17261134
4|29584|4009196
4|29585|19650557
4|29586|3465825
4|53780|41404326
6|24870|16062
4|29587|3991181
4|53781|25604943
6|24871|11704
4|29588|3418923
4|53782|26510232
6|24872|12678
4|29589|3917457
4|55170|38062275
4|53783|10216305
6|24873|15932
4|55171|48725976
6|26260|10649
4|53784|67206520
6|26261|15979
4|55172|29789909
4|53785|424334416
6|24874|21571
6|26262|17256
4|55173|258336962
4|53786|39484446
6|24875|15362
6|24876|7454
4|55174|23566685
6|26263|10168
4|53787|8581524
4|55175|35453362
6|26264|6834
4|53788|21660695
6|24877|8416
6|26265|17891
4|55176|39764707
4|53789|24973509
6|24878|13985
6|50460|33946
6|26266|18111
4|55177|18635430
6|24879|24398
6|50461|7827
4|55178|33092786
6|26267|17812
6|26268|13216
4|55179|12691120
6|50462|23958
6|50463|33797
6|26269|20663
6|50464|17203
6|50465|7111
6|50466|7688
6|50467|17249
6|50468|5113
4|36570|15573815
6|50469|8759
4|36571|5595339
4|36572|18173397
4|36573|11828556
4|36574|11543596
4|36575|13217818
4|60770|69556436
4|36576|10456239
4|60771|30967088
6|31860|13835
4|36577|16770900
4|60772|27150759
6|31861|21601
4|36578|15280024
6|31862|20555
4|60773|15946057
4|36579|53133413
4|62160|11396473
6|31863|15684
4|60774|14642436
4|62161|8460067
6|33250|20660
6|31864|12480
4|60775|6531702
4|62162|11986402
6|33251|22526
6|31865|14119
4|60776|10440352
4|62163|47390330
6|33252|27017
6|31866|19410
4|60777|83525342
4|62164|19797058
6|33253|18506
6|33254|13731
4|60778|13072653
6|31867|17899
4|62165|12734808
6|33255|21132
4|60779|14998251
6|31868|20062
4|62166|5928854
6|33256|12149
6|31869|19441
4|17970|11314246
4|62167|12249886
4|17971|5992560
4|62168|16340003
6|33257|12945
6|33258|10316
4|17972|2149471
4|62169|14706967
6|33259|18606
4|17973|1514202
4|19360|11944920
4|17974|4263891
4|19361|7109954
4|17975|2227160
4|19362|6467000
