ip version|port|bytes
4|55164|8181594
6|26253|23177
4|53777|8465484
6|24866|14980
6|24867|21151
4|55165|8117873
6|26254|20034
4|53778|13917272
6|24868|15833
4|55166|13072751
6|26255|18286
4|53779|44911189
4|55167|8800391
6|26256|15715
6|24869|20650
6|50450|20708
4|55168|13590672
6|26257|22527
6|50451|15739
6|50452|19063
6|26258|19569
4|55169|35219312
6|26259|21299
6|50453|18895
6|50454|19095
6|50455|19127
6|50456|21130
6|50457|15955
6|50458|18992
4|36560|9914765
6|50459|22495
4|36561|8971081
4|36562|9661087
4|36563|31269597
4|36564|8901539
4|36565|4330409
4|60760|25714617
4|36566|6085307
4|60761|90966779
6|31850|19587
4|36567|17998739
6|31851|20431
4|60762|103189009
4|36568|14946403
4|60763|42194956
6|31852|20939
4|36569|6719859
4|62150|12974520
6|31853|20040
4|60764|32323323
4|62151|8358292
6|33240|15467
6|33241|16254
6|31854|20981
4|60765|33471691
4|62152|11152941
4|60766|22716884
6|31855|21098
4|62153|2114161
6|33242|17613
6|33243|18438
4|60767|13165885
6|31856|18434
4|62154|90872478
6|33244|19939
4|60768|149230699
6|31857|23247
4|62155|12821764
6|33245|17647
4|60769|9537743
6|31858|19496
4|62156|33170698
6|33246|21465
4|17960|4267083
6|31859|15460
4|62157|12179644
6|33247|18886
4|17961|2491499
4|62158|3948743
6|33248|16612
4|17962|1603054
4|62159|12218304
4|17963|1830960
4|19350|6076582
6|33249|19525
4|17964|17062142
4|19351|10597570
4|17965|723125
4|19352|877882
4|17966|3272852
4|19353|1237219
4|17967|7619636
4|19354|5238146
4|17968|2390654
4|19355|1290215
4|17969|8776351
4|43550|7016096
4|19356|11656531
6|14640|15498
4|43551|6025957
4|19357|3091682
4|43552|13503115
6|14641|21600
4|19358|1121894
6|14642|22980
4|43553|3750000
4|19359|3550528
6|16030|17591
6|14643|21167
4|43554|8112140
6|14644|20256
6|16031|19685
4|43555|2994188
6|16032|16941
4|43556|10102022
6|14645|19794
6|16033|17561
4|43557|13452805
6|14646|17114
6|14647|20604
6|16034|14687
4|43558|46433945
6|16035|23273
4|43559|12417526
6|14648|20926
6|40230|21234
6|16036|22729
6|14649|22384
6|16037|19965
6|40231|18892
6|40232|17606
6|16038|21288
6|1870|15164
6|16039|16850
6|40233|18440
6|1871|19140
6|40234|16982
6|1872|15715
6|40235|19271
6|40236|18044
6|3260|15321
6|1873|18313
6|3261|15622
6|40237|19661
6|1874|16962
4|65390|16593218
